,calldate,callcount
271,2016-01-13 14:00:00,36
272,2016-01-13 15:00:00,53
273,2016-01-13 16:00:00,74
274,2016-01-13 17:00:00,105
275,2016-01-13 18:00:00,42
276,2016-01-13 19:00:00,40
277,2016-01-13 20:00:00,37
278,2016-01-13 21:00:00,35
279,2016-01-13 22:00:00,12
280,2016-01-13 23:00:00,50
281,2016-01-14 00:00:00,79
282,2016-01-14 01:00:00,8
283,2016-01-14 02:00:00,11
284,2016-01-14 03:00:00,1
285,2016-01-14 05:00:00,7
286,2016-01-14 06:00:00,21
287,2016-01-14 07:00:00,26
288,2016-01-14 08:00:00,47
289,2016-01-14 09:00:00,72
290,2016-01-14 10:00:00,87
291,2016-01-14 11:00:00,52
292,2016-01-14 12:00:00,101
293,2016-01-14 13:00:00,85
294,2016-01-14 14:00:00,51
295,2016-01-14 15:00:00,86
296,2016-01-14 16:00:00,83
297,2016-01-14 17:00:00,62
298,2016-01-14 18:00:00,93
299,2016-01-14 19:00:00,76
300,2016-01-14 20:00:00,73
301,2016-01-14 21:00:00,31
302,2016-01-14 22:00:00,31
303,2016-01-14 23:00:00,61
304,2016-01-15 00:00:00,35
305,2016-01-15 01:00:00,14
306,2016-01-15 02:00:00,4
307,2016-01-15 03:00:00,1
308,2016-01-15 04:00:00,1
309,2016-01-15 05:00:00,21
310,2016-01-15 06:00:00,52
311,2016-01-15 07:00:00,45
312,2016-01-15 08:00:00,43
313,2016-01-15 09:00:00,11
314,2016-01-15 10:00:00,54
315,2016-01-15 11:00:00,56
316,2016-01-15 12:00:00,52
317,2016-01-15 13:00:00,23
318,2016-01-15 14:00:00,19
319,2016-01-15 15:00:00,42
320,2016-01-15 16:00:00,65
321,2016-01-15 17:00:00,70
322,2016-01-15 18:00:00,64
323,2016-01-15 19:00:00,41
324,2016-01-15 20:00:00,22
325,2016-01-15 21:00:00,34
326,2016-01-15 22:00:00,41
327,2016-01-15 23:00:00,31
328,2016-01-16 00:00:00,45
329,2016-01-16 01:00:00,17
330,2016-01-16 02:00:00,6
331,2016-01-16 03:00:00,12
332,2016-01-16 04:00:00,6
333,2016-01-16 05:00:00,5
334,2016-01-16 06:00:00,28
335,2016-01-16 07:00:00,24
336,2016-01-16 08:00:00,37
337,2016-01-16 09:00:00,69
338,2016-01-16 10:00:00,41
339,2016-01-16 11:00:00,103
340,2016-01-16 12:00:00,102
341,2016-01-16 13:00:00,101
342,2016-01-16 14:00:00,47
343,2016-01-16 15:00:00,81
344,2016-01-16 16:00:00,109
345,2016-01-16 17:00:00,79
346,2016-01-16 18:00:00,61
347,2016-01-16 19:00:00,73
348,2016-01-16 20:00:00,68
349,2016-01-16 21:00:00,48
350,2016-01-16 22:00:00,51
351,2016-01-16 23:00:00,47
352,2016-01-17 00:00:00,55
353,2016-01-17 01:00:00,22
354,2016-01-17 02:00:00,2
355,2016-01-17 03:00:00,4
356,2016-01-17 06:00:00,6
357,2016-01-17 07:00:00,23
358,2016-01-17 08:00:00,51
359,2016-01-17 09:00:00,44
360,2016-01-17 10:00:00,52
361,2016-01-17 11:00:00,30
362,2016-01-17 12:00:00,52
363,2016-01-17 13:00:00,77
364,2016-01-17 14:00:00,36
365,2016-01-17 15:00:00,8
366,2016-01-17 16:00:00,25
367,2016-01-17 17:00:00,24
368,2016-01-17 18:00:00,23
369,2016-01-17 19:00:00,57
370,2016-01-17 20:00:00,62
371,2016-01-17 21:00:00,53
372,2016-01-17 22:00:00,43
373,2016-01-17 23:00:00,35
374,2016-01-18 00:00:00,29
375,2016-01-18 01:00:00,6
376,2016-01-18 03:00:00,5
377,2016-01-18 05:00:00,13
378,2016-01-18 06:00:00,52
379,2016-01-18 07:00:00,32
380,2016-01-18 08:00:00,55
381,2016-01-18 09:00:00,53
382,2016-01-18 10:00:00,53
383,2016-01-18 11:00:00,74
384,2016-01-18 12:00:00,99
385,2016-01-18 13:00:00,80
386,2016-01-18 14:00:00,22
387,2016-01-18 15:00:00,62
388,2016-01-18 16:00:00,88
389,2016-01-18 17:00:00,67
390,2016-01-18 18:00:00,55
391,2016-01-18 19:00:00,54
392,2016-01-18 20:00:00,33
393,2016-01-18 21:00:00,32
394,2016-01-18 22:00:00,37
395,2016-01-18 23:00:00,18
396,2016-01-19 00:00:00,47
397,2016-01-19 01:00:00,5
398,2016-01-19 02:00:00,15
399,2016-01-19 03:00:00,20
400,2016-01-19 04:00:00,2
401,2016-01-19 06:00:00,34
402,2016-01-19 07:00:00,32
403,2016-01-19 08:00:00,51
404,2016-01-19 09:00:00,89
405,2016-01-19 10:00:00,72
406,2016-01-19 11:00:00,82
407,2016-01-19 12:00:00,133
408,2016-01-19 13:00:00,113
409,2016-01-19 14:00:00,51
410,2016-01-19 15:00:00,55
411,2016-01-19 16:00:00,97
412,2016-01-19 17:00:00,75
413,2016-01-19 18:00:00,73
414,2016-01-19 19:00:00,79
415,2016-01-19 20:00:00,44
416,2016-01-19 21:00:00,29
417,2016-01-19 22:00:00,27
418,2016-01-19 23:00:00,55
419,2016-01-20 00:00:00,23
420,2016-01-20 01:00:00,10
421,2016-01-20 02:00:00,30
422,2016-01-20 03:00:00,3
423,2016-01-20 04:00:00,2
424,2016-01-20 05:00:00,7
425,2016-01-20 06:00:00,44
426,2016-01-20 07:00:00,44
427,2016-01-20 08:00:00,41
428,2016-01-20 09:00:00,59
429,2016-01-20 10:00:00,81
430,2016-01-20 11:00:00,77
431,2016-01-20 12:00:00,84
432,2016-01-20 13:00:00,85
433,2016-01-20 14:00:00,33
434,2016-01-20 15:00:00,67
435,2016-01-20 16:00:00,77
436,2016-01-20 17:00:00,54
437,2016-01-20 18:00:00,43
438,2016-01-20 19:00:00,32
439,2016-01-20 20:00:00,18
440,2016-01-20 21:00:00,13
441,2016-01-20 22:00:00,32
442,2016-01-20 23:00:00,43
443,2016-01-21 00:00:00,44
444,2016-01-21 01:00:00,8
445,2016-01-21 02:00:00,2
446,2016-01-21 04:00:00,1
447,2016-01-21 06:00:00,8
448,2016-01-21 07:00:00,15
449,2016-01-21 08:00:00,16
450,2016-01-21 09:00:00,81
451,2016-01-21 10:00:00,71
452,2016-01-21 11:00:00,46
453,2016-01-21 12:00:00,74
454,2016-01-21 13:00:00,55
455,2016-01-21 14:00:00,24
456,2016-01-21 15:00:00,46
457,2016-01-21 16:00:00,70
458,2016-01-21 17:00:00,9
459,2016-01-21 18:00:00,15
460,2016-01-21 19:00:00,10
461,2016-01-21 20:00:00,24
462,2016-01-21 21:00:00,9
463,2016-01-21 22:00:00,11
464,2016-01-21 23:00:00,22
465,2016-01-22 00:00:00,29
466,2016-01-22 01:00:00,8
467,2016-01-22 02:00:00,8
468,2016-01-22 03:00:00,4
469,2016-01-22 05:00:00,4
470,2016-01-22 06:00:00,37
471,2016-01-22 07:00:00,13
472,2016-01-22 08:00:00,26
473,2016-01-22 09:00:00,49
474,2016-01-22 10:00:00,53
475,2016-01-22 11:00:00,88
476,2016-01-22 12:00:00,64
477,2016-01-22 13:00:00,50
478,2016-01-22 14:00:00,21
479,2016-01-22 15:00:00,31
480,2016-01-22 16:00:00,77
481,2016-01-22 17:00:00,68
482,2016-01-22 18:00:00,20
483,2016-01-22 19:00:00,13
484,2016-01-22 20:00:00,34
485,2016-01-22 21:00:00,43
486,2016-01-22 22:00:00,10
487,2016-01-22 23:00:00,16
488,2016-01-23 00:00:00,60
489,2016-01-23 01:00:00,15
490,2016-01-23 02:00:00,7
491,2016-01-23 03:00:00,8
492,2016-01-23 05:00:00,1
493,2016-01-23 07:00:00,10
494,2016-01-23 08:00:00,22
495,2016-01-23 09:00:00,40
496,2016-01-23 10:00:00,25
497,2016-01-23 11:00:00,35
498,2016-01-23 12:00:00,14
499,2016-01-23 13:00:00,27
500,2016-01-23 14:00:00,18
501,2016-01-23 15:00:00,33
502,2016-01-23 16:00:00,43
503,2016-01-23 17:00:00,69
504,2016-01-23 18:00:00,55
505,2016-01-23 19:00:00,60
506,2016-01-23 20:00:00,43
507,2016-01-23 21:00:00,47
508,2016-01-23 22:00:00,38
509,2016-01-23 23:00:00,47
510,2016-01-24 00:00:00,28
511,2016-01-24 01:00:00,16
512,2016-01-24 02:00:00,8
513,2016-01-24 03:00:00,3
514,2016-01-24 06:00:00,11
515,2016-01-24 07:00:00,16
516,2016-01-24 08:00:00,42
517,2016-01-24 09:00:00,79
518,2016-01-24 10:00:00,56
519,2016-01-24 11:00:00,42
520,2016-01-24 12:00:00,67
521,2016-01-24 13:00:00,49
522,2016-01-24 14:00:00,23
523,2016-01-24 15:00:00,41
524,2016-01-24 16:00:00,65
525,2016-01-24 17:00:00,50
526,2016-01-24 18:00:00,25
527,2016-01-24 19:00:00,23
528,2016-01-24 20:00:00,20
529,2016-01-24 21:00:00,21
530,2016-01-24 22:00:00,33
531,2016-01-24 23:00:00,51
532,2016-01-25 00:00:00,80
533,2016-01-25 01:00:00,4
534,2016-01-25 02:00:00,4
535,2016-01-25 03:00:00,1
536,2016-01-25 04:00:00,6
537,2016-01-25 05:00:00,7
538,2016-01-25 06:00:00,60
539,2016-01-25 07:00:00,20
540,2016-01-25 08:00:00,47
541,2016-01-25 09:00:00,59
542,2016-01-25 10:00:00,67
543,2016-01-25 11:00:00,47
544,2016-01-25 12:00:00,66
545,2016-01-25 13:00:00,83
546,2016-01-25 14:00:00,37
547,2016-01-25 15:00:00,28
548,2016-01-25 16:00:00,59
549,2016-01-25 17:00:00,107
550,2016-01-25 18:00:00,84
551,2016-01-25 19:00:00,18
552,2016-01-25 20:00:00,23
553,2016-01-25 21:00:00,52
554,2016-01-25 22:00:00,29
555,2016-01-25 23:00:00,57
556,2016-01-26 00:00:00,67
557,2016-01-26 01:00:00,8
558,2016-01-26 02:00:00,3
559,2016-01-26 03:00:00,13
560,2016-01-26 04:00:00,18
561,2016-01-26 05:00:00,8
562,2016-01-26 06:00:00,56
563,2016-01-26 07:00:00,45
564,2016-01-26 08:00:00,67
565,2016-01-26 09:00:00,94
566,2016-01-26 10:00:00,71
567,2016-01-26 11:00:00,77
568,2016-01-26 12:00:00,87
569,2016-01-26 13:00:00,95
570,2016-01-26 14:00:00,35
571,2016-01-26 15:00:00,57
572,2016-01-26 16:00:00,91
573,2016-01-26 17:00:00,118
574,2016-01-26 18:00:00,124
575,2016-01-26 19:00:00,40
576,2016-01-26 20:00:00,58
577,2016-01-26 21:00:00,60
578,2016-01-26 22:00:00,51
579,2016-01-26 23:00:00,63
580,2016-01-27 00:00:00,51
581,2016-01-27 01:00:00,8
582,2016-01-27 02:00:00,12
583,2016-01-27 03:00:00,16
584,2016-01-27 04:00:00,35
585,2016-01-27 05:00:00,10
586,2016-01-27 06:00:00,54
587,2016-01-27 07:00:00,24
588,2016-01-27 10:00:00,6
589,2016-01-27 11:00:00,40
590,2016-01-27 12:00:00,58
591,2016-01-27 13:00:00,70
592,2016-01-27 14:00:00,20
593,2016-01-27 15:00:00,56
594,2016-01-27 16:00:00,38
595,2016-01-27 18:00:00,6
596,2016-01-27 19:00:00,51
597,2016-01-27 20:00:00,31
598,2016-01-27 21:00:00,48
599,2016-01-27 22:00:00,48
600,2016-01-27 23:00:00,45
601,2016-01-28 00:00:00,112
602,2016-01-28 01:00:00,12
603,2016-01-28 02:00:00,9
604,2016-01-28 03:00:00,13
605,2016-01-28 04:00:00,3
606,2016-01-28 06:00:00,2
607,2016-01-28 07:00:00,38
608,2016-01-28 08:00:00,38
609,2016-01-28 09:00:00,69
610,2016-01-28 10:00:00,107
611,2016-01-28 11:00:00,57
612,2016-01-28 12:00:00,39
613,2016-01-28 13:00:00,29
614,2016-01-28 14:00:00,18
615,2016-01-28 15:00:00,100
616,2016-01-28 16:00:00,107
617,2016-01-28 17:00:00,71
618,2016-01-28 18:00:00,112
619,2016-01-28 19:00:00,84
620,2016-01-28 20:00:00,46
621,2016-01-28 21:00:00,40
622,2016-01-28 22:00:00,52
623,2016-01-28 23:00:00,133
624,2016-01-29 00:00:00,58
625,2016-01-29 01:00:00,11
626,2016-01-29 02:00:00,6
627,2016-01-29 03:00:00,8
628,2016-01-29 04:00:00,2
629,2016-01-29 05:00:00,2
630,2016-01-29 06:00:00,55
631,2016-01-29 07:00:00,42
632,2016-01-29 08:00:00,46
633,2016-01-29 09:00:00,25
634,2016-01-29 10:00:00,49
635,2016-01-29 11:00:00,43
636,2016-01-29 12:00:00,62
637,2016-01-29 13:00:00,16
638,2016-01-29 14:00:00,17
639,2016-01-29 15:00:00,47
640,2016-01-29 16:00:00,63
641,2016-01-29 17:00:00,81
642,2016-01-29 18:00:00,83
643,2016-01-29 19:00:00,69
644,2016-01-29 20:00:00,45
645,2016-01-29 21:00:00,38
646,2016-01-29 22:00:00,50
647,2016-01-29 23:00:00,54
648,2016-01-30 00:00:00,39
649,2016-01-30 01:00:00,12
650,2016-01-30 02:00:00,9
651,2016-01-30 03:00:00,3
652,2016-01-30 04:00:00,4
653,2016-01-30 05:00:00,13
654,2016-01-30 06:00:00,9
655,2016-01-30 07:00:00,26
656,2016-01-30 08:00:00,47
657,2016-01-30 09:00:00,124
658,2016-01-30 10:00:00,88
659,2016-01-30 11:00:00,64
660,2016-01-30 12:00:00,127
661,2016-01-30 13:00:00,85
662,2016-01-30 14:00:00,47
663,2016-01-30 15:00:00,87
664,2016-01-30 16:00:00,91
665,2016-01-30 17:00:00,58
666,2016-01-30 18:00:00,42
667,2016-01-30 19:00:00,53
668,2016-01-30 20:00:00,23
669,2016-01-30 21:00:00,52
670,2016-01-30 22:00:00,27
671,2016-01-30 23:00:00,58
672,2016-01-31 00:00:00,37
673,2016-01-31 01:00:00,19
674,2016-01-31 02:00:00,5
675,2016-01-31 03:00:00,1
676,2016-01-31 06:00:00,34
677,2016-01-31 07:00:00,23
678,2016-01-31 08:00:00,26
679,2016-01-31 09:00:00,74
680,2016-01-31 10:00:00,69
681,2016-01-31 11:00:00,34
682,2016-01-31 12:00:00,113
683,2016-01-31 13:00:00,81
684,2016-01-31 14:00:00,19
685,2016-01-31 15:00:00,71
686,2016-01-31 16:00:00,12
687,2016-01-31 17:00:00,47
688,2016-01-31 18:00:00,20
689,2016-01-31 19:00:00,60
690,2016-01-31 20:00:00,57
691,2016-01-31 21:00:00,37
692,2016-01-31 22:00:00,54
693,2016-01-31 23:00:00,56
694,2016-02-01 00:00:00,62
695,2016-02-01 01:00:00,11
696,2016-02-01 02:00:00,6
697,2016-02-01 03:00:00,6
698,2016-02-01 04:00:00,2
699,2016-02-01 05:00:00,2
700,2016-02-01 06:00:00,18
701,2016-02-01 07:00:00,17
702,2016-02-01 08:00:00,57
703,2016-02-01 09:00:00,68
704,2016-02-01 10:00:00,80
705,2016-02-01 11:00:00,52
706,2016-02-01 12:00:00,23
707,2016-02-01 18:00:00,25
708,2016-02-01 19:00:00,71
709,2016-02-01 20:00:00,40
710,2016-02-01 21:00:00,63
711,2016-02-01 22:00:00,42
712,2016-02-01 23:00:00,41
713,2016-02-02 00:00:00,2
714,2016-02-02 01:00:00,8
715,2016-02-02 02:00:00,12
716,2016-02-02 03:00:00,13
717,2016-02-02 04:00:00,3
718,2016-02-02 05:00:00,6
719,2016-02-02 06:00:00,8
720,2016-02-02 07:00:00,35
721,2016-02-02 08:00:00,39
722,2016-02-02 09:00:00,38
723,2016-02-02 10:00:00,45
724,2016-02-02 11:00:00,43
725,2016-02-02 12:00:00,97
726,2016-02-02 13:00:00,27
727,2016-02-02 14:00:00,19
728,2016-02-02 15:00:00,29
729,2016-02-02 16:00:00,49
730,2016-02-02 17:00:00,50
731,2016-02-02 18:00:00,39
732,2016-02-02 19:00:00,34
733,2016-02-02 20:00:00,49
734,2016-02-02 21:00:00,45
735,2016-02-02 22:00:00,57
736,2016-02-02 23:00:00,27
737,2016-02-03 00:00:00,96
738,2016-02-03 06:00:00,19
739,2016-02-03 07:00:00,30
740,2016-02-03 08:00:00,39
741,2016-02-03 09:00:00,27
742,2016-02-03 10:00:00,22
743,2016-02-03 11:00:00,38
744,2016-02-03 12:00:00,84
745,2016-02-03 13:00:00,54
746,2016-02-03 14:00:00,25
747,2016-02-03 15:00:00,76
748,2016-02-03 16:00:00,82
749,2016-02-03 17:00:00,54
750,2016-02-03 18:00:00,80
751,2016-02-03 19:00:00,100
752,2016-02-03 20:00:00,33
753,2016-02-03 21:00:00,19
754,2016-02-03 22:00:00,50
755,2016-02-03 23:00:00,65
756,2016-02-04 00:00:00,49
757,2016-02-04 01:00:00,20
758,2016-02-04 02:00:00,40
759,2016-02-04 03:00:00,11
760,2016-02-04 04:00:00,4
761,2016-02-04 05:00:00,4
762,2016-02-04 06:00:00,56
763,2016-02-04 07:00:00,41
764,2016-02-04 08:00:00,59
765,2016-02-04 09:00:00,73
766,2016-02-04 10:00:00,73
767,2016-02-04 11:00:00,65
768,2016-02-04 12:00:00,106
769,2016-02-04 13:00:00,66
770,2016-02-04 14:00:00,42
771,2016-02-04 15:00:00,61
772,2016-02-04 16:00:00,83
773,2016-02-04 17:00:00,23
774,2016-02-04 18:00:00,19
775,2016-02-04 19:00:00,19
776,2016-02-04 20:00:00,5
777,2016-02-04 21:00:00,7
778,2016-02-04 22:00:00,30
779,2016-02-04 23:00:00,32
780,2016-02-05 01:00:00,5
781,2016-02-05 02:00:00,3
782,2016-02-05 03:00:00,2
783,2016-02-05 04:00:00,7
784,2016-02-05 05:00:00,6
785,2016-02-05 06:00:00,46
786,2016-02-05 07:00:00,21
787,2016-02-05 08:00:00,53
788,2016-02-05 09:00:00,94
789,2016-02-05 10:00:00,51
790,2016-02-05 11:00:00,95
791,2016-02-05 12:00:00,95
792,2016-02-05 13:00:00,74
793,2016-02-05 14:00:00,36
794,2016-02-05 15:00:00,15
795,2016-02-06 13:00:00,58
796,2016-02-06 14:00:00,28
797,2016-02-06 15:00:00,48
798,2016-02-06 16:00:00,83
799,2016-02-06 17:00:00,69
800,2016-02-06 18:00:00,40
801,2016-02-06 19:00:00,17
802,2016-02-07 00:00:00,40
803,2016-02-07 08:00:00,2
804,2016-02-07 09:00:00,15
805,2016-02-07 10:00:00,17
806,2016-02-07 11:00:00,45
807,2016-02-07 12:00:00,60
808,2016-02-07 13:00:00,72
809,2016-02-07 14:00:00,21
810,2016-02-07 15:00:00,68
811,2016-02-07 16:00:00,72
812,2016-02-07 17:00:00,41
813,2016-02-07 18:00:00,15
814,2016-02-07 19:00:00,39
815,2016-02-07 20:00:00,18
816,2016-02-07 21:00:00,18
817,2016-02-07 22:00:00,20
818,2016-02-07 23:00:00,21
819,2016-02-08 00:00:00,75
820,2016-02-08 01:00:00,16
821,2016-02-08 02:00:00,7
